acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,like
0.087,12.675,14.094,0.09786,0.0321,0.7186120522,0.1998,2.1228327252,2.885,:(
0.0238,13.545,8.334,2.247,0.0826,0.6305991856,0.2511,2.2605351928,3.665,:(
0.297,10.47,7.776,0.16002,0.0485,1.1846832974,0.1125,2.1661241308,3.395,:(
0.0644,12.75,8.982,0.0003465,0.0995,0.7526947952,0.459,2.1998367476,4.17,:(
0.54,13.08,9.252,0.14196,0.075,0.8634979298,0.2274,2.105189658,3.99,:(
0.114,13.17,9.63,0.00017745,0.0419,0.6931526538,0.168,2.0159712048,4.79,:(
0.0378,12.15,14.274,3.822E-05,0.072,0.6436026418,0.1209,2.2825644404,4.315,:(
0.29,13.245,14.76,0.00777,0.114,0.4125517572,0.39,2.2703500092,4.195,:(
0.17,7.53,15.606,0.5187,0.638,0.4633336756,0.1842,2.198754954,2.735,:(
0.705,12.465,14.292,0.000714,0.0978,0.2532936386,0.2256,2.322413776,3.675,:(
0.000252,4.14,15.894,9.702,0.0973,0.3849707422,0.1338,3.2267340656,0.82,:(
0.0246,6.645,13.176,0.0004389,0.0675,0.4618280122,0.1224,1.588643136,2.445,:(
0.379,9.96,9.198,0,0.0884,0.8666461348,0.1755,2.2325659156,2.47,:(
0.551,6.69,4.302,8.61E-05,0.0697,0.9543852444,0.0948,3.727407728,1.49,:(
0.000211,8.085,8.064,8.505,0.149,0.8052561338,0.0975,2.1665175104,0.685,:(
0.0591,8.385,12.366,0.0007539,0.0896,0.7468090202,0.0933,2.4127140228,4.27,:(
0.963,2.49,1.35,19.824,0.0783,1.4184717518,0.1095,2.6529705064,0.187,:(
0.989,2.445,0.06732,19.845,0.0982,1.8608630188,0.15,1.4407128036,0.805,:(
0.986,6.495,4.392,15.897,0.111,0.806967115,0.1032,1.9694344188,0.175,:(
0.968,3.57,0.9774,19.908,0.0799,1.7950929062,0.1206,1.4242892124,0.176,:(
